gen,nevals,min,avg
0,50,8,84.02
1,28,9,154.62
2,30,11,179.94
3,29,10,185.8
4,29,12,195.72
5,37,107,222.62
6,34,108,253.86
7,28,108,267.42
8,30,205,279.26
9,27,107,291.2
10,32,204,291.14
