gen,nevals,min,avg
0,20,10,86.0
1,12,12,159.05
2,16,108,139.85
3,15,9,148.55
4,15,106,186.4
5,11,107,206.75
6,12,111,231.0
7,15,108,226.45
8,11,109,265.0
9,12,204,274.45
10,9,204,279.25
