gen,nevals,min,avg
0,20,9,70.0
1,10,8,20.1
2,12,8,14.4
3,10,7,8.7
4,10,7,8.05
5,12,7,12.55
6,11,7,17.05
7,8,7,12.0
8,13,7,7.25
9,16,7,7.0
10,6,7,12.0
