gen,nevals,min,avg
0,20,11,104.8
1,18,10,70.3
2,20,10,16.85
3,20,10,11.4
4,17,9,15.75
5,19,10,15.35
6,18,9,15.0
7,17,9,19.8
8,18,9,19.85
9,18,9,9.65
10,17,8,9.2
11,18,8,8.8
12,17,8,8.75
13,14,8,28.0
14,16,8,13.15
15,17,8,8.05
16,18,8,8.0
17,16,8,13.05
18,19,8,17.85
19,19,8,13.1
20,19,8,8.1
21,16,8,13.1
22,18,8,13.0
23,16,8,12.9
24,17,8,8.05
25,18,8,13.0
26,18,8,27.95
27,14,8,13.0
28,14,8,8.1
29,18,7,13.15
30,19,7,12.95
