gen,nevals,min,avg
0,50,7,105.54
1,34,7,36.8
2,35,7,18.2
3,35,7,16.68
4,37,6,11.88
5,27,6,9.18
6,24,6,6.4
7,33,6,16.06
8,29,6,8.12
9,28,6,10.04
10,26,6,6.1
